season,week,start,end
2007,19,2008-01-12,2008-01-13
2007,20,2008-01-20,2008-01-20
2007,21,2008-02-03,2008-02-03
2008,1,2008-09-04,2008-09-08
2008,2,2008-09-14,2008-09-15
2008,3,2008-09-21,2008-09-22
2008,4,2008-09-28,2008-09-29
2008,5,2008-10-05,2008-10-06
2008,6,2008-10-12,2008-10-13
2008,7,2008-10-19,2008-10-20
2008,8,2008-10-26,2008-10-27
2008,9,2008-11-02,2008-11-03
2008,10,2008-11-06,2008-11-10
2008,11,2008-11-13,2008-11-17
2008,12,2008-11-20,2008-11-24
2008,13,2008-11-27,2008-12-01
2008,14,2008-12-04,2008-12-08
2008,15,2008-12-11,2008-12-15
2008,16,2008-12-18,2008-12-22
2008,17,2008-12-28,2008-12-28
2008,18,2009-01-03,2009-01-04
2008,19,2009-01-10,2009-01-11
2008,20,2009-01-18,2009-01-18
2008,21,2009-02-01,2009-02-01
2009,1,2009-09-10,2009-09-14
2009,2,2009-09-20,2009-09-21
2009,3,2009-09-27,2009-09-28
2009,4,2009-10-04,2009-10-05
2009,5,2009-10-11,2009-10-12
2009,6,2009-10-18,2009-10-19
2009,7,2009-10-25,2009-10-26
2009,8,2009-11-01,2009-11-02
2009,9,2009-11-08,2009-11-09
2009,10,2009-11-12,2009-11-16
2009,11,2009-11-19,2009-11-23
2009,12,2009-11-26,2009-11-30
2009,13,2009-12-03,2009-12-07
2009,14,2009-12-10,2009-12-14
2009,15,2009-12-17,2009-12-21
2009,16,2009-12-25,2009-12-28
2009,17,2010-01-03,2010-01-03
2009,18,2010-01-09,2010-01-10
2009,19,2010-01-16,2010-01-17
2009,20,2010-01-24,2010-01-24
2009,21,2010-02-07,2010-02-07
2010,1,2010-09-09,2010-09-13
2010,2,2010-09-19,2010-09-20
2010,3,2010-09-26,2010-09-27
2010,4,2010-10-03,2010-10-04
2010,5,2010-10-10,2010-10-11
2010,6,2010-10-17,2010-10-18
2010,7,2010-10-24,2010-10-25
2010,8,2010-10-31,2010-11-01
2010,9,2010-11-07,2010-11-08
2010,10,2010-11-11,2010-11-15
2010,11,2010-11-18,2010-11-22
2010,12,2010-11-25,2010-11-29
2010,13,2010-12-02,2010-12-06
2010,14,2010-12-09,2010-12-13
2010,15,2010-12-16,2010-12-20
2010,16,2010-12-23,2010-12-28
2010,17,2011-01-02,2011-01-02
2010,18,2011-01-08,2011-01-09
2010,19,2011-01-15,2011-01-16
2010,20,2011-01-23,2011-01-23
2010,21,2011-02-06,2011-02-06
2011,1,2011-09-08,2011-09-12
2011,2,2011-09-18,2011-09-19
2011,3,2011-09-25,2011-09-26
2011,4,2011-10-02,2011-10-03
2011,5,2011-10-09,2011-10-10
2011,6,2011-10-16,2011-10-17
2011,7,2011-10-23,2011-10-24
2011,8,2011-10-30,2011-10-31
2011,9,2011-11-06,2011-11-07
2011,10,2011-11-10,2011-11-14
2011,11,2011-11-17,2011-11-21
2011,12,2011-11-24,2011-11-28
2011,13,2011-12-01,2011-12-05
2011,14,2011-12-08,2011-12-12
2011,15,2011-12-15,2011-12-19
2011,16,2011-12-22,2011-12-26
2011,17,2012-01-01,2012-01-01
2011,18,2012-01-07,2012-01-08
2011,19,2012-01-14,2012-01-15
2011,20,2012-01-22,2012-01-22
2011,21,2012-02-05,2012-02-05
2012,1,2012-09-05,2012-09-10
2012,2,2012-09-13,2012-09-17
2012,3,2012-09-20,2012-09-24
2012,4,2012-09-27,2012-10-01
2012,5,2012-10-04,2012-10-08
2012,6,2012-10-11,2012-10-15
2012,7,2012-10-18,2012-10-22
2012,8,2012-10-25,2012-10-29
2012,9,2012-11-01,2012-11-05
2012,10,2012-11-08,2012-11-12
2012,11,2012-11-15,2012-11-19
2012,12,2012-11-22,2012-11-26
2012,13,2012-11-29,2012-12-03
2012,14,2012-12-06,2012-12-10
2012,15,2012-12-13,2012-12-17
2012,16,2012-12-22,2012-12-23
2012,17,2012-12-30,2012-12-30
2012,18,2013-01-05,2013-01-06
2012,19,2013-01-12,2013-01-13
2012,20,2013-01-20,2013-01-20
2012,21,2013-02-03,2013-02-03
2013,1,2013-09-05,2013-09-09
2013,2,2013-09-12,2013-09-16
2013,3,2013-09-19,2013-09-23
2013,4,2013-09-26,2013-09-30
2013,5,2013-10-03,2013-10-07
2013,6,2013-10-10,2013-10-14
2013,7,2013-10-17,2013-10-21
2013,8,2013-10-24,2013-10-28
2013,9,2013-10-31,2013-11-04
2013,10,2013-11-07,2013-11-11
2013,11,2013-11-14,2013-11-18
2013,12,2013-11-21,2013-11-25
2013,13,2013-11-28,2013-12-02
2013,14,2013-12-05,2013-12-09
2013,15,2013-12-12,2013-12-16
2013,16,2013-12-22,2013-12-23
2013,17,2013-12-29,2013-12-29
2013,18,2014-01-04,2014-01-05
2013,19,2014-01-11,2014-01-12
2013,20,2014-01-19,2014-01-19
2013,21,2014-02-02,2014-02-02
2014,1,2014-09-04,2014-09-08
2014,2,2014-09-11,2014-09-15
2014,3,2014-09-18,2014-09-22
2014,4,2014-09-25,2014-09-29
2014,5,2014-10-02,2014-10-06
2014,6,2014-10-09,2014-10-13
2014,7,2014-10-16,2014-10-20
2014,8,2014-10-23,2014-10-27
2014,9,2014-10-30,2014-11-03
2014,10,2014-11-06,2014-11-10
2014,11,2014-11-13,2014-11-17
2014,12,2014-11-20,2014-11-24
2014,13,2014-11-27,2014-12-01
2014,14,2014-12-04,2014-12-08
2014,15,2014-12-11,2014-12-15
2014,16,2014-12-18,2014-12-22
2014,17,2014-12-28,2014-12-28
2014,18,2015-01-03,2015-01-04
2014,19,2015-01-10,2015-01-11
2014,20,2015-01-18,2015-01-18
2014,21,2015-02-01,2015-02-01
2015,1,2015-09-10,2015-09-14
2015,2,2015-09-17,2015-09-21
2015,3,2015-09-24,2015-09-28
2015,4,2015-10-01,2015-10-05
2015,5,2015-10-08,2015-10-12
2015,6,2015-10-15,2015-10-19
2015,7,2015-10-22,2015-10-26
2015,8,2015-10-29,2015-11-02
2015,9,2015-11-05,2015-11-09
2015,10,2015-11-12,2015-11-16
2015,11,2015-11-19,2015-11-23
2015,12,2015-11-26,2015-11-30
2015,13,2015-12-03,2015-12-07
2015,14,2015-12-10,2015-12-14
2015,15,2015-12-17,2015-12-21
2015,16,2015-12-24,2015-12-28
2015,17,2016-01-03,2016-01-03
2015,18,2016-01-09,2016-01-10
2015,19,2016-01-16,2016-01-17
2015,20,2016-01-24,2016-01-24
2015,21,2016-02-07,2016-02-07
2016,1,2016-09-08,2016-09-12
2016,2,2016-09-15,2016-09-19
2016,3,2016-09-22,2016-09-26
2016,4,2016-09-29,2016-10-03
2016,5,2016-10-06,2016-10-10
2016,6,2016-10-13,2016-10-17
2016,7,2016-10-20,2016-10-24
2016,8,2016-10-27,2016-10-31
2016,9,2016-11-03,2016-11-07
2016,10,2016-11-10,2016-11-14
2016,11,2016-11-17,2016-11-21
2016,12,2016-11-24,2016-11-28
2016,13,2016-12-01,2016-12-05
2016,14,2016-12-08,2016-12-12
2016,15,2016-12-15,2016-12-19
2016,16,2016-12-22,2016-12-26
2016,17,2017-01-01,2017-01-01
2016,18,2017-01-07,2017-01-08
2016,19,2017-01-14,2017-01-15
2016,20,2017-01-22,2017-01-22
2016,21,2017-02-05,2017-02-05
2017,1,2017-09-07,2017-09-11
2017,2,2017-09-14,2017-09-18
2017,3,2017-09-21,2017-09-25
2017,4,2017-09-28,2017-10-02
2017,5,2017-10-05,2017-10-09
2017,6,2017-10-12,2017-10-16
2017,7,2017-10-19,2017-10-23
2017,8,2017-10-26,2017-10-30
2017,9,2017-11-02,2017-11-06
2017,10,2017-11-09,2017-11-13
2017,11,2017-11-16,2017-11-20
2017,12,2017-11-23,2017-11-27
2017,13,2017-11-30,2017-12-04
2017,14,2017-12-07,2017-12-11
2017,15,2017-12-14,2017-12-18
2017,16,2017-12-23,2017-12-25
2017,17,2017-12-31,2017-12-31
2017,18,2018-01-06,2018-01-07
2017,19,2018-01-13,2018-01-14
2017,20,2018-01-21,2018-01-21
2017,21,2018-02-04,2018-02-04
2018,1,2018-09-06,2018-09-10
2018,2,2018-09-13,2018-09-17
2018,3,2018-09-20,2018-09-24
2018,4,2018-09-27,2018-10-01
2018,5,2018-10-04,2018-10-08
2018,6,2018-10-11,2018-10-15
2018,7,2018-10-18,2018-10-22
2018,8,2018-10-25,2018-10-29
2018,9,2018-11-01,2018-11-05
2018,10,2018-11-08,2018-11-12
2018,11,2018-11-15,2018-11-19
2018,12,2018-11-22,2018-11-26
2018,13,2018-11-29,2018-12-03
2018,14,2018-12-06,2018-12-10
2018,15,2018-12-13,2018-12-17
2018,16,2018-12-22,2018-12-24
2018,17,2018-12-30,2018-12-30
2018,18,2019-01-05,2019-01-06
2018,19,2019-01-12,2019-01-13
2018,20,2019-01-20,2019-01-20
2018,21,2019-02-03,2019-02-03
2019,1,2019-09-05,2019-09-09
2019,2,2019-09-12,2019-09-16
2019,3,2019-09-19,2019-09-23
2019,4,2019-09-26,2019-09-30
2019,5,2019-10-03,2019-10-07
2019,6,2019-10-10,2019-10-14
2019,7,2019-10-17,2019-10-21
2019,8,2019-10-24,2019-10-28
2019,9,2019-10-31,2019-11-04
2019,10,2019-11-07,2019-11-11
2019,11,2019-11-14,2019-11-18
2019,12,2019-11-21,2019-11-25
2019,13,2019-11-28,2019-12-02
2019,14,2019-12-05,2019-12-09
2019,15,2019-12-12,2019-12-16
2019,16,2019-12-21,2019-12-23
2019,17,2019-12-29,2019-12-29
2019,18,2020-01-04,2020-01-05
2019,19,2020-01-11,2020-01-12
2019,20,2020-01-19,2020-01-19
2019,21,2020-02-02,2020-02-02
2020,1,2020-09-10,2020-09-14
2020,2,2020-09-17,2020-09-21
2020,3,2020-09-24,2020-09-28
2020,4,2020-10-01,2020-10-05
2020,5,2020-10-08,2020-10-13
2020,6,2020-10-18,2020-10-19
2020,7,2020-10-22,2020-10-26
2020,8,2020-10-29,2020-11-02
2020,9,2020-11-05,2020-11-09
2020,10,2020-11-12,2020-11-16
2020,11,2020-11-19,2020-11-23
2020,12,2020-11-26,2020-12-02
2020,13,2020-12-06,2020-12-08
2020,14,2020-12-10,2020-12-14
2020,15,2020-12-17,2020-12-21
2020,16,2020-12-25,2020-12-28
2020,17,2021-01-03,2021-01-03
2020,18,2021-01-09,2021-01-10
2020,19,2021-01-16,2021-01-17
2020,20,2021-01-24,2021-01-24
2020,21,2021-02-07,2021-02-07
2021,1,2021-09-09,2021-09-13
2021,2,2021-09-16,2021-09-20
2021,3,2021-09-23,2021-09-27
2021,4,2021-09-30,2021-10-04
2021,5,2021-10-07,2021-10-11
2021,6,2021-10-14,2021-10-18
2021,7,2021-10-21,2021-10-25
2021,8,2021-10-28,2021-11-01
2021,9,2021-11-04,2021-11-08
2021,10,2021-11-11,2021-11-15
2021,11,2021-11-18,2021-11-22
2021,12,2021-11-25,2021-11-29
2021,13,2021-12-02,2021-12-06
2021,14,2021-12-09,2021-12-13
2021,15,2021-12-16,2021-12-21
2021,16,2021-12-23,2021-12-27
2021,17,2022-01-02,2022-01-03
2021,18,2022-01-08,2022-01-09
2021,19,2022-01-15,2022-01-17
2021,20,2022-01-22,2022-01-23
2021,21,2022-01-30,2022-01-30
2021,22,2022-02-13,2022-02-13
2022,1,2022-09-08,2022-09-12
2022,2,2022-09-15,2022-09-19
2022,3,2022-09-22,2022-09-26
2022,4,2022-09-29,2022-10-03
2022,5,2022-10-06,2022-10-10
2022,6,2022-10-13,2022-10-17
2022,7,2022-10-20,2022-10-24
2022,8,2022-10-27,2022-10-31
2022,9,2022-11-03,2022-11-07
2022,10,2022-11-10,2022-11-14
2022,11,2022-11-17,2022-11-21
2022,12,2022-11-24,2022-11-28
2022,13,2022-12-01,2022-12-05
2022,14,2022-12-08,2022-12-12
2022,15,2022-12-15,2022-12-19
2022,16,2022-12-22,2022-12-26
2022,17,2022-12-29,2023-01-01
2022,18,2023-01-07,2023-01-08
2022,19,2023-01-14,2023-01-16
2022,20,2023-01-21,2023-01-22
2022,21,2023-01-29,2023-01-29
2022,22,2023-02-12,2023-02-12
2023,1,2023-09-07,2023-09-11
2023,2,2023-09-14,2023-09-18
2023,3,2023-09-21,2023-09-25
2023,4,2023-09-28,2023-10-02
2023,5,2023-10-05,2023-10-09
2023,6,2023-10-12,2023-10-16
2023,7,2023-10-19,2023-10-23
2023,8,2023-10-26,2023-10-30
2023,9,2023-11-02,2023-11-06
2023,10,2023-11-09,2023-11-13
2023,11,2023-11-16,2023-11-20
2023,12,2023-11-23,2023-11-27
2023,13,2023-11-30,2023-12-04
2023,14,2023-12-07,2023-12-11
2023,15,2023-12-14,2023-12-18
2023,16,2023-12-21,2023-12-25
2023,17,2023-12-28,2023-12-31
2023,18,2024-01-06,2024-01-07
2023,19,2024-01-13,2024-01-15
2023,20,2024-01-20,2024-01-21
2023,21,2024-01-28,2024-01-28
2024,1,2024-09-05,2024-09-10
